frm,height,pxW,cmW,gsdE,gsdT,predE(cm),predT(cm),errorE2,errorT2
1,85.75,64.0,174,2.794,2.864,178.816,183.296,23.193856000000025,86.41561599999986
3,85.76,69.0,174,2.794,2.864,192.786,197.61599999999999,352.91379600000005,557.7154559999993
4,85.76,62.0,174,2.794,2.864,173.228,177.56799999999998,0.5959839999999866,12.730623999999883
6,85.76,69.0,174,2.794,2.864,192.786,197.61599999999999,352.91379600000005,557.7154559999993
7,85.76,74.0,174,2.794,2.864,206.756,211.93599999999998,1072.955536,1439.1400959999983
10,85.78,68.0,174,2.795,2.865,190.06,194.82000000000002,257.9236000000001,433.4724000000009
11,85.78,61.0,174,2.795,2.865,170.495,174.76500000000001,12.285024999999969,0.5852250000000226
12,85.78,67.5,174,2.795,2.865,188.6625,193.38750000000002,214.98890624999984,375.87515625000066
13,85.78,65.0,174,2.795,2.865,181.67499999999998,186.22500000000002,58.90562499999974,149.45062500000054
25,85.81,63.5,174,2.795,2.866,177.4825,181.991,12.127806249999914,63.85608100000022
29,85.83,63.0,174,2.796,2.867,176.148,180.621,4.613903999999984,43.837641000000126
40,85.85,67.0,174,2.797,2.867,187.399,192.089,179.53320100000002,327.21192099999996
41,85.85,63.5,174,2.797,2.867,177.6095,182.0545,13.02849024999998,64.87497024999985
43,85.85,68.0,174,2.797,2.867,190.196,194.956,262.3104159999999,439.15393599999953
45,85.86,72.5,174,2.797,2.868,202.7825,207.92999999999998,828.4323062499999,1151.2448999999986
46,85.86,60.0,174,2.797,2.868,167.82000000000002,172.07999999999998,38.192399999999736,3.686400000000061
57,85.89,67.5,174,2.798,2.869,188.865,193.65750000000003,220.96822500000027,386.41730625000105
58,85.89,65.5,174,2.798,2.869,183.269,187.91950000000003,85.9143610000001,193.75248025000076
59,85.89,63.5,174,2.798,2.869,177.673,182.1815,13.490929000000014,66.93694225
64,85.9,68.0,174,2.798,2.869,190.264,195.092,264.51769600000034,444.87246400000055
66,85.9,69.0,174,2.798,2.869,193.062,197.961,363.35984400000046,574.1295210000006
67,85.9,60.5,174,2.798,2.869,169.279,173.5745,22.287841000000036,0.1810502499999996
69,85.91,60.0,174,2.799,2.869,167.94,172.14000000000001,36.723600000000026,3.459599999999945
74,85.91,64.0,174,2.799,2.869,179.136,183.616,26.378495999999956,92.46745600000027
75,85.9,60.5,174,2.798,2.869,169.279,173.5745,22.287841000000036,0.1810502499999996
77,85.9,65.5,174,2.798,2.869,183.269,187.91950000000003,85.9143610000001,193.75248025000076
79,85.9,66.5,174,2.798,2.869,186.067,190.78850000000003,145.61248900000018,281.8537322500009
83,85.9,63.0,174,2.798,2.869,176.274,180.747,5.171076000000004,45.52200900000019
84,85.9,60.0,174,2.798,2.869,167.88,172.14000000000001,37.45440000000006,3.459599999999945
86,85.9,68.0,174,2.798,2.869,190.264,195.092,264.51769600000034,444.87246400000055
89,85.89,62.0,174,2.798,2.869,173.476,177.87800000000001,0.27457600000000093,15.038884000000111
95,85.89,69.0,174,2.798,2.869,193.062,197.961,363.35984400000046,574.1295210000006
102,85.88,73.93,174,2.798,2.868,206.85614,212.03124,1079.5259356996007,1446.3752159375997
108,85.88,60.24,174,2.798,2.868,168.55152,172.76832,29.685934310399883,1.517035622400028
110,85.88,76.94999999999999,174,2.798,2.868,215.30609999999996,220.69259999999997,1706.1938972099965,2180.198894759997
114,85.87,63.2,174,2.797,2.868,176.77040000000002,181.2576,7.6751161600001305,52.672757759999946
119,85.87,68.53,174,2.797,2.868,191.67841,196.54404,312.52618012810046,508.2337395215998
120,85.87,62.980000000000004,174,2.797,2.868,176.15506000000002,180.62664,4.644283603600087,43.91235768960012
123,85.87,64.1,174,2.797,2.868,179.2877,183.83879999999996,27.95977129000001,96.80198543999929
124,85.87,65.43,174,2.797,2.868,183.00771000000003,187.65324,81.13883944410057,186.4109624976003
128,85.87,61.43,174,2.797,2.868,171.81971000000001,176.18124,4.753664484099936,4.757807937600011
132,85.86,69.37,174,2.797,2.868,194.02789,198.95316,401.1163778521005,622.6601939855998
136,85.86,66.49000000000001,174,2.797,2.868,185.97253000000003,190.69332000000003,143.34147460090082,278.66693262240096
139,85.86,70.66,174,2.797,2.868,197.63602,202.65287999999998,558.6614414404,820.987532294399
140,85.86,68.59,174,2.797,2.868,191.84623000000002,196.71612,318.48792521290073,516.0221078543996
141,85.85,65.66,174,2.797,2.867,183.65102,188.24722,93.14218704039978,202.98327772839997
142,85.85,60.75,174,2.797,2.867,169.91775,174.17025,16.6647650624999,0.028985062500003406
144,85.85,63.99,174,2.797,2.867,178.98003000000003,183.45933,24.800698800900275,89.47892404889988
145,85.85,63.1,174,2.797,2.867,176.4907,180.9077,6.20358649000002,47.71631929000008
146,85.85,67.97,174,2.797,2.867,190.11209,194.86999,259.5994441680998,435.5564826001001
147,85.85,60.57,174,2.797,2.867,169.41429000000002,173.65419,21.028736204099793,0.11958455610000011
149,85.85,60.22,174,2.797,2.867,168.43534,172.65073999999998,30.965440915600038,1.8205025476000412
152,85.85,75.23,174,2.797,2.867,210.41831000000002,215.68441,1326.2933032561014,1737.590037048101
153,85.84,70.09,174,2.796,2.867,195.97164,200.94803000000002,482.75296428960036,726.1963208809009
