Height,pxDist,CmDist
23,226.53,174
24,216.395,174
25,206.22,174
26,203.29,174
27,193.88,174
28,182.375,174
29,181.295,174
30,172.09,174
31,166.475,174
32,161.035,174
33,163.32,174
34,158.72,174
35,145.92,174
36,147.175,174
37,147.25,174
38,141.17,174
39,141.15,174
40,139.19,174
41,132.89,174
42,129.69,174
43,117.345,174
44,124.675,174
45,121.785,174
46,115.905,174
47,118.96,174
48,114.88,174
49,108.915,174
50,111.4,174
51,109.01,174
52,104.16,174
53,96.07,174
54,97.47,174
55,92.28,174
56,99.07,174
57,90.81,174
58,95.695,174
59,94.27,174
60,87.15,174
61,85.65,174
62,79.61,174
63,82.57,174
64,76.64,174
65,82.9,174
66,77,174
67,81.855,174
68,81.17,174
69,80.67,174
70,80.91,174
71,80.125,174
72,77.81,174
73,73.095,174
74,77.575,174
75,77.645,174
76,72.63,174
77,69.84,174
78,68.99,174
79,70.555,174
80,67.515,174
81,71.365,174
83,61.405,174
84,67.81,174
86,67.67,174
87,61.69,174
88,66.86,174
89,62.68,174
90,62.775,174
91,61,174
92,61.47,174
93,66.37,174
94,56.435,174
95,60.05,174
96,57.72,174
97,59.76,174
98,60.2,174
99,53.42,174
100,51.43,174
